algorithm,snr_db,n_ok,n_failed,failure_rate,nmse_db,median_nmse_db,aggregate_minus_median_db,p10_nmse_db,p25_nmse_db,p50_nmse_db,p75_nmse_db,p90_nmse_db,p95_nmse_db,p99_nmse_db,worse_than_zero_rate,top1pct_energy_share,top5pct_energy_share,max_nmse_linear
biased_gs,9.0,2000,0,0.0,-15.526177904573517,-16.207315691675305,0.6811377871017879,-20.352973164190487,-18.28846633365851,-16.207315691675305,-14.373979232483565,-12.879353982361636,-11.931061353611664,-10.447797129921732,0.0,0.0369808188260322,0.14325539232513113,0.1370296298530224
biased_gs,10.0,2000,0,0.0,-16.54393581767068,-17.26919135419272,0.7252555365220417,-21.584471419879442,-19.33678121750079,-17.26919135419272,-15.37011059448296,-13.815390671200294,-12.989761759131614,-11.583136427935965,0.0,0.040670646255807845,0.14634630460596865,0.13288426441778056
biased_gs,11.0,2000,0,0.0,-17.679265250205155,-18.383270833319592,0.7040055831144372,-22.618912894716907,-20.438461702242186,-18.383270833319592,-16.483472110780035,-14.874722754550247,-14.156124987331681,-12.675552962765567,0.0,0.038004142361602364,0.14062872807716567,0.10223020906094367
biased_gs,12.0,2000,0,0.0,-18.64853385291967,-19.37557897215091,0.7270451192312422,-23.500286824819547,-21.41180912110243,-19.37557897215091,-17.551842599133614,-15.962918533339652,-15.151925676144272,-13.381020618625122,0.0,0.040282204483358265,0.1468533374168527,0.07245538658261608
cui_crlb,-5.0,2000,0,0.0,-1.0631720040530104,-1.0951223396348786,0.03195033558186822,-1.4268015578108564,-1.2881931896597307,-1.0951223396348786,-0.8955773563304176,-0.6868525277096016,-0.5460362260705134,-0.2390656367729467,0.003,0.012582296785007616,0.058959229735699545,1.1052053279156093
cui_crlb,-4.0,2000,0,0.0,-2.2803804175642695,-2.3246757844951715,0.04429536693090208,-2.629728339699677,-2.5019709138391804,-2.3246757844951715,-2.103202672683039,-1.9073177930882688,-1.772302895877442,-1.5243464870645447,0.0,0.01229091850917325,0.058280097212651955,0.7862929317072679
cui_crlb,-3.0,2000,0,0.0,-3.4753917606897256,-3.5180216798595993,0.0426299191698738,-3.8150523026989447,-3.6850155936886475,-3.5180216798595993,-3.311580789218293,-3.1312792234041202,-2.9972059104934172,-2.693096327126891,0.0,0.012444285974232543,0.05827561295539284,0.6377451175616032
cui_crlb,-2.0,2000,0,0.0,-4.639474968714144,-4.672482687002258,0.033007718288113885,-4.949193453969244,-4.8306387229734895,-4.672482687002258,-4.497952146995375,-4.3085723060118175,-4.1949573905514805,-3.945161928586247,0.0,0.011978675869603076,0.05728872957759644,0.4416561598444859
cui_crlb,-1.0,2000,0,0.0,-5.77864080645213,-5.8056007979344955,0.026959991482365275,-6.070766366300396,-5.956690162732166,-5.8056007979344955,-5.640320797499565,-5.482589469659416,-5.353344515911102,-5.1509287808746524,0.0,0.011987991124134432,0.05697936714618765,0.346384311879849
cui_crlb,0.0,2000,0,0.0,-6.887251198977568,-6.9229040225948415,0.03565282361727373,-7.16354250211952,-7.063322103458026,-6.9229040225948415,-6.759149267842481,-6.580889293893362,-6.460763217322069,-6.192690910038552,0.0,0.01213017397540582,0.05743423036091235,0.26922706023367143
